group_id,artifact_id,version_number
com.netflix.archaius,archaius2-api,2.0.0-rc.39
com.nimbusds,nimbus-jose-jwt,4.16.1
com.ogaclejapan.smarttablayout,utils-v4,1.2.0
com.mikepenz.materialdrawer,library,2.0.3
com.opencsv,opencsv,3.2
com.netflix.archaius,archaius2-api,2.0.1
com.nimbusds,nimbus-jose-jwt,4.16.2
com.ogaclejapan.smarttablayout,utils-v4,1.2.1
com.mikepenz.materialdrawer,library,2.0.4
com.opencsv,opencsv,3.3
com.netflix.archaius,archaius2-api,2.0.2
com.nimbusds,nimbus-jose-jwt,4.17
com.ogaclejapan.smarttablayout,utils-v4,1.2.2
com.netflix.archaius,archaius2-api,2.0.3
com.mikepenz.materialdrawer,library,2.0.5
com.opencsv,opencsv,3.4
com.nimbusds,nimbus-jose-jwt,4.18
com.ogaclejapan.smarttablayout,utils-v4,1.2.3
com.netflix.archaius,archaius2-api,2.0.4
com.nimbusds,nimbus-jose-jwt,4.19
com.mikepenz.materialdrawer,library,2.0.6
com.opencsv,opencsv,3.5
com.ogaclejapan.smarttablayout,utils-v4,1.3.0
com.netflix.archaius,archaius2-api,2.0.5
com.nimbusds,nimbus-jose-jwt,4.2
com.ogaclejapan.smarttablayout,utils-v4,1.4.0
com.mikepenz.materialdrawer,library,2.0.7
com.opencsv,opencsv,3.6
com.netflix.archaius,archaius2-api,2.0.6
com.nimbusds,nimbus-jose-jwt,4.20
com.ogaclejapan.smarttablayout,utils-v4,1.4.1
com.mikepenz.materialdrawer,library,2.0.8
com.opencsv,opencsv,3.7
com.nimbusds,nimbus-jose-jwt,4.21
com.ogaclejapan.smarttablayout,utils-v4,1.4.2
com.mikepenz.materialdrawer,library,2.5.0
com.opencsv,opencsv,3.8
com.nimbusds,nimbus-jose-jwt,4.22
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0
com.ogaclejapan.smarttablayout,utils-v4,1.5.0
com.mikepenz.materialdrawer,library,2.5.1
com.ogaclejapan.smarttablayout,utils-v4,1.5.1
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.10
com.nimbusds,nimbus-jose-jwt,4.3
com.mikepenz.materialdrawer,library,2.5.2
com.ogaclejapan.smarttablayout,utils-v4,1.6.0
com.nimbusds,nimbus-jose-jwt,4.3.1
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.11
com.mikepenz.materialdrawer,library,2.5.3
com.ogaclejapan.smarttablayout,utils-v4,1.6.1
com.nimbusds,nimbus-jose-jwt,4.4
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.12
com.mikepenz.materialdrawer,library,2.5.4
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.13
com.nimbusds,nimbus-jose-jwt,4.5
com.mikepenz.materialdrawer,library,2.5.5
